Combination,Combination ID,Run,Generation,Fitness
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,1,1.1899600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,2,1.28067
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,3,1.28067
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,4,1.28067
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,5,1.28067
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,6,1.2890000000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,7,1.33743
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,8,1.33743
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,9,1.33743
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,10,1.33743
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,11,1.33743
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,12,1.39519
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,13,1.39519
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,14,1.39519
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,15,1.42219
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,16,1.42219
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,17,1.42219
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,18,1.42219
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,19,1.4507599999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,20,1.4507599999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,21,1.4623300000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,22,1.4623300000000001
