Combination,Combination ID,Run,Generation,Fitness
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,1,1.19971
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,2,1.2258099999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,3,1.27443
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,4,1.3212400000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,5,1.3212400000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,6,1.3212400000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,7,1.3212400000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,8,1.3212400000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,9,1.3252899999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,10,1.3252899999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,11,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,12,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,13,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,14,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,15,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,16,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,17,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,18,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,19,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,20,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,21,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,22,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,23,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,24,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,25,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,26,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,27,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,28,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,29,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,30,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,31,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,32,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,33,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,34,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,35,1.3491
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,36,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,37,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,38,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,39,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,40,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,41,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,42,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,43,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,44,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,45,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,46,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,47,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,48,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,49,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,50,1.46496
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,1,1.2249999999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,2,1.2249999999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,3,1.2476699999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,4,1.2476699999999998
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,5,1.28486
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,6,1.29204
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,7,1.29204
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,8,1.29204
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,9,1.29204
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,10,1.29204
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,11,1.29204
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,12,1.29204
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,13,1.2921900000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,14,1.2921900000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,15,1.31419
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,16,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,17,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,18,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,19,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,20,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,21,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,22,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,23,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,24,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,25,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,26,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,27,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,28,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,29,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,30,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,31,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,32,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,33,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,34,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,35,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,36,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,37,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,38,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,39,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,40,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,41,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,42,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,43,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,44,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,45,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,46,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,47,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,48,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,49,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,50,1.4157600000000001
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,1,1.225
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,2,1.2371
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,3,1.2371
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,4,1.31338
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,5,1.31338
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,6,1.32653
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,7,1.32653
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,8,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,9,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,10,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,11,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,12,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,13,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,14,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,15,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,16,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,17,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,18,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,19,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,20,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,21,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,22,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,23,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,24,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,25,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,26,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,27,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,28,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,29,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,30,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,31,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,32,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,33,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,34,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,35,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,36,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,37,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,38,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,39,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,40,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,41,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,42,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,43,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,44,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,45,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,46,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,47,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,48,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,49,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,50,1.3667099999999999
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,4,1,1.2265700000000002
