Elitism,Run,Generation,Fitness
True,1,1,1.3069
True,1,2,1.33719
True,1,3,1.33719
True,1,4,1.33719
True,1,5,1.3429
True,1,6,1.3429
True,1,7,1.36647
True,1,8,1.38124
True,1,9,1.3986200000000002
True,1,10,1.4209
True,1,11,1.4369600000000002
True,1,12,1.47353
True,1,13,1.47353
True,1,14,1.47638
True,1,15,1.51471
True,1,16,1.51471
True,1,17,1.51471
True,1,18,1.54686
True,1,19,1.54686
True,1,20,1.60114
True,1,21,1.60114
True,1,22,1.60114
True,1,23,1.6218599999999999
True,1,24,1.6218599999999999
True,1,25,1.6218599999999999
True,1,26,1.6347099999999999
True,1,27,1.6347099999999999
True,1,28,1.69519
True,1,29,1.69519
True,1,30,1.69519
True,1,31,1.69519
True,1,32,1.69519
True,1,33,1.69519
True,1,34,1.69519
True,1,35,1.69519
True,1,36,1.69519
True,1,37,1.69519
True,1,38,1.69519
True,1,39,1.69519
True,1,40,1.69519
True,1,41,1.69519
True,1,42,1.69519
True,1,43,1.69519
True,1,44,1.69519
True,1,45,1.69519
True,1,46,1.69519
True,1,47,1.69519
True,1,48,1.69519
True,1,49,1.69519
True,1,50,1.69519
True,1,51,1.69519
True,1,52,1.69519
True,1,53,1.69519
True,1,54,1.69519
True,1,55,1.69519
True,1,56,1.69519
True,1,57,1.69519
True,1,58,1.69519
True,1,59,1.69519
True,1,60,1.69519
True,1,61,1.69519
True,1,62,1.69519
True,1,63,1.69519
True,1,64,1.69519
True,1,65,1.69519
True,1,66,1.69519
True,1,67,1.69519
True,1,68,1.69519
True,1,69,1.69519
True,1,70,1.69519
True,1,71,1.69519
True,1,72,1.69519
True,1,73,1.69519
True,1,74,1.69519
True,1,75,1.69519
True,1,76,1.69519
True,1,77,1.69519
True,1,78,1.69804
True,1,79,1.69804
True,1,80,1.69804
True,1,81,1.69804
True,1,82,1.69804
True,1,83,1.69804
True,1,84,1.69804
True,1,85,1.69804
True,1,86,1.69804
True,1,87,1.69804
True,1,88,1.69804
True,1,89,1.69804
True,1,90,1.69804
True,1,91,1.69804
True,1,92,1.69804
True,1,93,1.69804
True,1,94,1.69804
True,1,95,1.69804
True,1,96,1.69804
True,1,97,1.69804
True,1,98,1.69804
True,1,99,1.69804
True,1,100,1.69804
True,2,1,1.29329
True,2,2,1.29329
True,2,3,1.32686
True,2,4,1.33971
True,2,5,1.33971
True,2,6,1.374
True,2,7,1.40543
True,2,8,1.4813800000000001
True,2,9,1.4813800000000001
True,2,10,1.4813800000000001
True,2,11,1.4871
True,2,12,1.48996
True,2,13,1.5321
True,2,14,1.5404299999999997
True,2,15,1.54138
