Combination,Combination ID,Run,Generation,Fitness
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,1,1.1760000000000002
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,2,1.1909
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,3,1.23119
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,4,1.23119
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,5,1.29147
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,6,1.29147
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,7,1.32886
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,8,1.32886
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,9,1.32886
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,1,10,1.32886
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,1,1.22557
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,2,1.22557
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,3,1.22557
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,4,1.22557
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,5,1.22557
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,6,1.27853
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,7,1.27853
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,8,1.27853
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,9,1.27853
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,2,10,1.27853
"('block_rotation_mutation', 'cyclic_crossover', 'tournament_selection')",BCT,3,1,1.19519
