Elitism,Run,Generation,Fitness
True,1,1,1.20004
True,1,2,1.3113299999999999
True,1,3,1.3113299999999999
True,1,4,1.3113299999999999
True,1,5,1.3411
True,1,6,1.3646699999999998
True,1,7,1.3646699999999998
True,1,8,1.3646699999999998
True,1,9,1.3646699999999998
True,1,10,1.37471
True,1,11,1.38162
True,1,12,1.38162
True,1,13,1.38757
True,1,14,1.4944300000000001
True,1,15,1.50681
True,1,16,1.5437100000000001
True,1,17,1.5437100000000001
True,1,18,1.54729
True,1,19,1.54729
True,1,20,1.54729
True,1,21,1.54729
True,1,22,1.54729
True,1,23,1.54729
True,1,24,1.54729
True,1,25,1.54729
True,1,26,1.5794300000000001
True,1,27,1.5794300000000001
True,1,28,1.5794300000000001
True,1,29,1.61562
True,1,30,1.61562
True,1,31,1.61562
True,1,32,1.61562
True,1,33,1.61562
True,1,34,1.61562
True,1,35,1.6304699999999999
True,1,36,1.6304699999999999
True,1,37,1.6304699999999999
True,1,38,1.6304699999999999
True,1,39,1.6368600000000002
True,1,40,1.6368600000000002
True,1,41,1.6368600000000002
True,1,42,1.6368600000000002
True,1,43,1.7170999999999998
True,1,44,1.7170999999999998
True,1,45,1.7170999999999998
True,1,46,1.7170999999999998
True,1,47,1.7170999999999998
True,1,48,1.7170999999999998
True,1,49,1.7170999999999998
True,1,50,1.7170999999999998
True,1,51,1.7170999999999998
True,1,52,1.7170999999999998
True,1,53,1.7170999999999998
True,1,54,1.7170999999999998
True,1,55,1.7170999999999998
True,1,56,1.7170999999999998
True,1,57,1.7170999999999998
True,1,58,1.7170999999999998
True,1,59,1.7170999999999998
True,1,60,1.7170999999999998
True,1,61,1.7170999999999998
True,1,62,1.7170999999999998
True,1,63,1.7170999999999998
True,1,64,1.7170999999999998
True,1,65,1.7170999999999998
True,1,66,1.7170999999999998
True,1,67,1.7170999999999998
True,1,68,1.7170999999999998
True,1,69,1.7170999999999998
True,1,70,1.7170999999999998
True,1,71,1.7170999999999998
True,1,72,1.7170999999999998
True,1,73,1.7170999999999998
True,1,74,1.7170999999999998
True,1,75,1.7170999999999998
True,1,76,1.7170999999999998
True,1,77,1.7170999999999998
True,1,78,1.7170999999999998
True,1,79,1.7170999999999998
True,1,80,1.7170999999999998
True,1,81,1.7170999999999998
True,1,82,1.7170999999999998
True,1,83,1.7312400000000001
True,1,84,1.7312400000000001
True,1,85,1.7312400000000001
True,1,86,1.7312400000000001
True,1,87,1.7312400000000001
True,1,88,1.7312400000000001
True,1,89,1.7312400000000001
True,1,90,1.7433800000000002
True,1,91,1.7433800000000002
True,1,92,1.7433800000000002
True,1,93,1.7433800000000002
True,1,94,1.7433800000000002
True,1,95,1.7433800000000002
True,1,96,1.7433800000000002
True,1,97,1.7433800000000002
True,1,98,1.7433800000000002
True,1,99,1.7433800000000002
True,1,100,1.7433800000000002
True,2,1,1.32247
True,2,2,1.32247
True,2,3,1.3546200000000002
True,2,4,1.3546200000000002
True,2,5,1.3546200000000002
True,2,6,1.4013300000000002
True,2,7,1.4013300000000002
True,2,8,1.4013300000000002
True,2,9,1.42967
True,2,10,1.44204
True,2,11,1.44204
True,2,12,1.44204
True,2,13,1.44204
True,2,14,1.49729
True,2,15,1.49729
True,2,16,1.49729
True,2,17,1.49729
True,2,18,1.49729
True,2,19,1.49729
True,2,20,1.49729
True,2,21,1.52281
True,2,22,1.54667
True,2,23,1.55262
True,2,24,1.55262
True,2,25,1.55262
True,2,26,1.55262
True,2,27,1.5635700000000001
True,2,28,1.62347
True,2,29,1.62347
True,2,30,1.62347
True,2,31,1.62347
True,2,32,1.66538
True,2,33,1.66538
True,2,34,1.66538
True,2,35,1.66538
True,2,36,1.66538
True,2,37,1.66538
True,2,38,1.66538
True,2,39,1.66538
True,2,40,1.66538
True,2,41,1.66538
True,2,42,1.66538
True,2,43,1.66538
True,2,44,1.66538
True,2,45,1.66538
True,2,46,1.66538
True,2,47,1.66538
True,2,48,1.66538
True,2,49,1.66538
True,2,50,1.66538
True,2,51,1.66538
True,2,52,1.66538
True,2,53,1.66538
True,2,54,1.66538
True,2,55,1.66538
True,2,56,1.66538
True,2,57,1.68514
True,2,58,1.68514
True,2,59,1.68514
True,2,60,1.68514
True,2,61,1.68514
True,2,62,1.68514
True,2,63,1.68514
True,2,64,1.68514
True,2,65,1.68514
True,2,66,1.68514
True,2,67,1.68514
True,2,68,1.68514
True,2,69,1.68514
True,2,70,1.68514
True,2,71,1.68514
True,2,72,1.68514
True,2,73,1.68514
True,2,74,1.68514
True,2,75,1.68514
True,2,76,1.68514
True,2,77,1.68514
True,2,78,1.68514
True,2,79,1.68514
True,2,80,1.68514
True,2,81,1.68514
True,2,82,1.68514
True,2,83,1.68514
True,2,84,1.68514
True,2,85,1.68514
True,2,86,1.68514
True,2,87,1.68514
True,2,88,1.68514
True,2,89,1.68514
True,2,90,1.6968100000000002
True,2,91,1.6968100000000002
True,2,92,1.7261000000000002
True,2,93,1.7261000000000002
True,2,94,1.7261000000000002
True,2,95,1.7261000000000002
True,2,96,1.7261000000000002
True,2,97,1.7261000000000002
True,2,98,1.7261000000000002
True,2,99,1.7261000000000002
True,2,100,1.7261000000000002
True,3,1,1.23343
True,3,2,1.26924
True,3,3,1.31853
True,3,4,1.32129
True,3,5,1.32129
True,3,6,1.32129
True,3,7,1.32129
True,3,8,1.34038
True,3,9,1.37396
True,3,10,1.37729
True,3,11,1.44838
True,3,12,1.44838
True,3,13,1.4564300000000001
True,3,14,1.4564300000000001
True,3,15,1.4564300000000001
True,3,16,1.4691
True,3,17,1.4691
True,3,18,1.4691
True,3,19,1.5473800000000002
True,3,20,1.5911400000000002
True,3,21,1.5911400000000002
True,3,22,1.5911400000000002
True,3,23,1.5911400000000002
True,3,24,1.6115700000000002
True,3,25,1.6115700000000002
True,3,26,1.6115700000000002
True,3,27,1.6115700000000002
True,3,28,1.61586
True,3,29,1.62896
True,3,30,1.62896
True,3,31,1.62896
True,3,32,1.62896
True,3,33,1.62896
True,3,34,1.63396
True,3,35,1.63396
True,3,36,1.6411
True,3,37,1.6411
True,3,38,1.6498599999999999
True,3,39,1.6498599999999999
True,3,40,1.6498599999999999
True,3,41,1.6498599999999999
True,3,42,1.6498599999999999
True,3,43,1.6569999999999998
True,3,44,1.6569999999999998
True,3,45,1.6569999999999998
True,3,46,1.6569999999999998
True,3,47,1.6569999999999998
True,3,48,1.6569999999999998
True,3,49,1.6569999999999998
True,3,50,1.6569999999999998
True,3,51,1.66867
True,3,52,1.66867
True,3,53,1.66867
True,3,54,1.66867
True,3,55,1.66867
True,3,56,1.66867
True,3,57,1.66867
True,3,58,1.66867
True,3,59,1.66867
True,3,60,1.66867
True,3,61,1.66867
True,3,62,1.66867
True,3,63,1.66867
True,3,64,1.6703299999999999
True,3,65,1.6703299999999999
True,3,66,1.712
True,3,67,1.712
True,3,68,1.7193800000000001
True,3,69,1.7193800000000001
True,3,70,1.7193800000000001
True,3,71,1.7193800000000001
True,3,72,1.7193800000000001
True,3,73,1.7193800000000001
True,3,74,1.7193800000000001
True,3,75,1.7279600000000002
True,3,76,1.74153
True,3,77,1.74153
True,3,78,1.74153
True,3,79,1.74153
True,3,80,1.7501000000000002
True,3,81,1.7501000000000002
True,3,82,1.7501000000000002
True,3,83,1.7501000000000002
True,3,84,1.7501000000000002
True,3,85,1.7501000000000002
True,3,86,1.7501000000000002
True,3,87,1.7501000000000002
True,3,88,1.7501000000000002
True,3,89,1.7501000000000002
True,3,90,1.7501000000000002
True,3,91,1.7501000000000002
True,3,92,1.7501000000000002
True,3,93,1.7501000000000002
True,3,94,1.7501000000000002
True,3,95,1.7521
True,3,96,1.7521
True,3,97,1.7521
True,3,98,1.7521
True,3,99,1.7521
True,3,100,1.7521
True,4,1,1.2756699999999999
True,4,2,1.28043
True,4,3,1.28043
True,4,4,1.3045700000000002
True,4,5,1.32504
True,4,6,1.32504
True,4,7,1.34976
True,4,8,1.34976
True,4,9,1.43857
True,4,10,1.43857
True,4,11,1.44481
True,4,12,1.44481
True,4,13,1.46953
True,4,14,1.46953
True,4,15,1.48753
True,4,16,1.48753
True,4,17,1.50167
True,4,18,1.5437100000000001
True,4,19,1.5437100000000001
True,4,20,1.5437100000000001
True,4,21,1.5437100000000001
True,4,22,1.5437100000000001
True,4,23,1.5437100000000001
True,4,24,1.5437100000000001
True,4,25,1.5437100000000001
True,4,26,1.5437100000000001
True,4,27,1.5437100000000001
True,4,28,1.54657
True,4,29,1.54657
True,4,30,1.5865299999999998
True,4,31,1.5865299999999998
True,4,32,1.5865299999999998
True,4,33,1.5865299999999998
True,4,34,1.5865299999999998
True,4,35,1.5865299999999998
True,4,36,1.5865299999999998
True,4,37,1.5865299999999998
True,4,38,1.5865299999999998
True,4,39,1.5865299999999998
True,4,40,1.5865299999999998
True,4,41,1.5865299999999998
True,4,42,1.5865299999999998
True,4,43,1.5865299999999998
True,4,44,1.5865299999999998
True,4,45,1.5865299999999998
True,4,46,1.5865299999999998
True,4,47,1.5865299999999998
True,4,48,1.5865299999999998
True,4,49,1.5865299999999998
True,4,50,1.5865299999999998
True,4,51,1.5865299999999998
True,4,52,1.5865299999999998
True,4,53,1.5865299999999998
True,4,54,1.5865299999999998
True,4,55,1.5865299999999998
True,4,56,1.5865299999999998
True,4,57,1.5865299999999998
True,4,58,1.5865299999999998
True,4,59,1.5865299999999998
True,4,60,1.5865299999999998
True,4,61,1.5865299999999998
True,4,62,1.5865299999999998
True,4,63,1.5865299999999998
True,4,64,1.5865299999999998
True,4,65,1.5865299999999998
True,4,66,1.5865299999999998
True,4,67,1.5865299999999998
